unique_id,city,state,contact_title,category,PRMKTS,EQMKTS,RAMKTS,MMKTS,has_facebook,has_twitter,degree_connected,revenue,headcount
VYDAQRLK,New York,NY,Manager,Insurance,0.518403977655587,0.6246364292624702,0.5197196212855738,0.5542533427345436,True,False,2.0,3862000,262
ZLEMRPCD,Chicago,IL,CEO,Healthcare,0.4252830433037376,0.5871200084526311,0.3976033002694389,0.4700021173419359,False,True,2.0,7824000,194
IJFLXQDH,Los Angeles,CA,Engineer,Healthcare,0.44483025524744046,0.4576291006949355,0.5911709688764235,0.49787677493959986,False,False,2.0,4338000,181
LTAIVKRH,Denver,CO,Engineer,Manufacturing,0.5316619252754773,0.6511118371237953,0.5049039313787363,0.5625592312593364,False,False,3.0,5316000,230
RZBWCFHQ,Phoenix,AZ,Owner,Manufacturing,0.6630030380465401,0.3896467355785301,0.5298564905506092,0.5275020880585598,True,False,2.0,4278000,197
IHRAPTGE,Boston,MA,CEO,Hardware,0.32417347413032227,0.38600763870158605,0.29074552909505574,0.3336422139756547,True,True,2.0,7228000,145
RIGAHCYW,Chicago,IL,Sales,Hardware,0.4931006142660506,0.5211526538168874,0.4939718062012031,0.502741691428047,True,True,2.0,4604000,187
EGHUCPMW,New York,NY,Sales,Software,0.6977155964731925,0.522009510871364,0.48855426035087146,0.569426455898476,False,False,2.0,4665000,204
TDQNUYFR,New York,NY,Sales,Insurance,0.4718297250417388,0.34302001183014325,0.44149394161617406,0.41878122616268537,False,False,3.0,4309000,210
NUWDOCHT,Denver,CO,Engineer,Healthcare,0.5848767151701146,0.37248788580379044,0.5257453026514574,0.4943699678751208,False,True,2.0,4474000,140
CYGJQWIH,Chicago,IL,Sales,Healthcare,0.5243176111668387,0.6970971194936302,0.5783734367200171,0.5999293891268287,True,False,2.0,4547000,222
JQUDBLVG,Columbus,OH,Manager,Software,0.5943894513368976,0.6358416753581568,0.39208834750192867,0.5407731580656611,True,True,,6243000,147
CBYZEPFL,Boston,MA,Manager,Restaurant,0.48815653160126465,0.6389958739355541,0.5421420488719739,0.5564314848029309,False,False,2.0,2075000,298
TLHXMKWZ,Denver,CO,Owner,Healthcare,0.5642900350299419,0.577562928997936,0.6147670044783888,0.5855399895020889,True,False,2.0,5036000,242
UVMKDWQG,San Diego,CA,Engineer,Software,0.5001478708191666,0.5013240148688227,0.47561149027267924,0.49236112532022286,True,True,2.0,5591000,215
VGKBCHNT,Chicago,IL,CEO,Insurance,0.4360888649459271,0.5551838980698786,0.33954496255571537,0.44360590852384035,True,True,2.0,6604000,246
NKMYWUQE,Denver,CO,Data Scientist,Healthcare,0.3293714671127836,0.5906644882915678,0.5728435897461428,0.4976265150501648,False,True,2.0,4931000,193
SOAUDGHI,Chicago,IL,Engineer,Finance,0.6428407626889364,0.5552327891886728,0.666509008020268,0.6215275199659591,True,False,2.0,4439000,262
EVSRBMQG,New York,NY,Owner,Finance,0.5195299548595022,0.489455220037333,0.6491863001665195,0.5527238250211182,True,False,2.0,4645000,208
HDPGUISQ,Chicago,IL,CEO,Law,0.5865026698827956,0.6030644966135309,0.2404804715484643,0.47668254601493026,False,True,2.0,8951000,159
HCBLQJVW,Denver,CO,CEO,Law,0.3678082365719146,0.41601933358128595,0.5608754442385901,0.44823433813059693,False,False,2.0,5482000,358
PZHFBGSO,Chicago,IL,CMO,Healthcare,0.6851720802969504,0.35520847240293946,0.440893820085619,0.4937581242618363,True,True,2.0,7113000,202
XZFPIQGA,New York,NY,Sales,Automotive,0.3141269823871671,0.43950095985836507,0.6180261362584332,0.4572180261679884,True,False,2.0,3167000,348
BQIJOVHN,Denver,CO,Sales,Healthcare,0.38306338863826184,0.4390097001837247,0.6500950637897954,0.49072271753726066,False,False,2.0,3162000,204
XZLYIBHC,Los Angeles,CA,CEO,Law,0.5473968932597886,0.6681802567226863,0.41650213494319577,0.5440264283085569,True,True,1.0,7250000,215
UXYKAEJC,Chicago,IL,CMO,Healthcare,0.327721108102058,0.5061338470591223,0.4370493908295441,0.4236347819969081,True,True,3.0,7078000,189
PBFMQKOZ,Chicago,IL,Manager,Healthcare,0.6409672154659243,0.671016604076089,0.4209398442074257,0.577641221249813,False,True,2.0,6571000,176
SIGXDZQN,Denver,CO,Owner,Law,0.5996463184884915,0.46848301346221033,0.4879844793083749,0.5187046037530255,True,True,1.0,5370000,230
QGVRFKDO,Phoenix,AZ,CEO,Healthcare,0.5283994056072485,0.5941448215572473,0.5215190686877297,0.5480210986174086,False,False,2.0,6537000,243
KXCYUDJA,New York,NY,Owner,Healthcare,0.5799139936783005,0.4437068155319962,0.5455097514063777,0.5230435202055581,False,True,2.0,4760000,251
ZYXAHNIQ,Boston,MA,CMO,Law,0.5580984329771604,0.4723045686281219,0.3641583166672073,0.46485377275749656,True,True,3.0,6590000,140
DZKFNEUL,New York,NY,CMO,Service,0.43985329255319155,0.3715138146049914,0.5628466964086315,0.45807126785560487,False,False,2.0,4951000,376
IRQGKEOL,New York,NY,Engineer,Insurance,0.4793160834588521,0.5516751314679417,0.5183276694598276,0.5164396281288738,False,False,3.0,4320000,267
IKGAWCRH,Seattle,WA,Sales,Automotive,0.5073694537522669,0.5144610355932261,0.35342175750568794,0.45841741561706034,True,True,3.0,7230000,91
NQFHKGBL,Denver,CO,Sales,Service,0.5078654559719462,0.5608310305055513,0.4365921023828557,0.5017628629534511,True,True,2.0,5617000,162
HKRFBZTU,New York,NY,Engineer,Insurance,0.1956589912634663,0.41123459042369137,0.5674842229524135,0.3914592682131904,True,False,2.0,2635000,338
SELVUZIY,Freehold,NJ,Manager,Finance,0.5531274808164897,0.4488253930292485,0.6580710729791005,0.5533413156082796,False,False,2.0,5509000,256
BFVULSJN,New York,NY,Sales,Healthcare,0.345700302968597,0.3887282370771934,0.5500738387214927,0.42816745958909436,False,True,2.0,4276000,182
BMJVSGON,Los Angeles,CA,Manager,Finance,0.6038754258706209,0.6214241966467673,0.6633368769129823,0.6295454998101235,False,False,2.0,5031000,265
JRSMEDFL,Kansas City,MO,CMO,Software,0.4580429239316313,0.515197574035631,0.40546793042195994,0.4595694761297408,False,True,2.0,6331000,179
PBHWDVZL,Chicago,IL,Engineer,Healthcare,0.296110262867492,0.5128252510905533,0.5021126263856392,0.43701604678122824,False,True,2.0,5313000,228
DPKWFSOY,Austin,TX,Manager,Automotive,0.681741645209647,0.45621829484650667,0.40070017514425565,0.5128867050668031,True,True,2.0,5764000,144
DIHMOJRZ,Las Vegas,NV,CMO,Automotive,0.4536553331466135,0.7241565211081074,0.3137886632113199,0.49720017248868026,False,True,3.0,7244000,113
KDCWLSTY,Tulsa,OK,CEO,Finance,0.477224070400234,0.612812799328425,0.5897028539986691,0.5599132412424427,False,True,2.0,5676000,304
JCVTXRSZ,Los Angeles,CA,Data Scientist,Insurance,0.5909579390348947,0.4839606425665999,0.4677928585612913,0.5142371467209287,True,True,3.0,6214000,255
IRCBWNPK,New York,NY,Owner,Software,0.4141973451596485,0.6555599538696899,0.4897197146913231,0.5198256712402205,False,False,2.0,4408000,193
GRJAKBVH,Las Vegas,NV,Data Scientist,Insurance,0.5063464670766754,0.5539001001097312,0.4362341245454563,0.4988268972439543,True,False,3.0,4842000,219
IHYEZNXV,Chicago,IL,CEO,Law,0.47976345962135075,0.5118600817867903,0.6289963687387097,0.540206636715617,True,False,1.0,3152000,356
